Type,Algorithm,DataSize,Threads,Sample,Time(ns)
Serial,bubble,100,1,1,162100
Serial,bubble,100,1,2,117400
Serial,bubble,100,1,3,117500
Serial,bubble,100,1,4,117500
Serial,bubble,100,1,5,117700
Parallel,bubble,100,2,1,11393600
Parallel,bubble,100,2,2,4694700
Parallel,bubble,100,2,3,4010300
Parallel,bubble,100,2,4,3991000
Parallel,bubble,100,2,5,2893000
Parallel,bubble,100,4,1,3609000
Parallel,bubble,100,4,2,3568200
Parallel,bubble,100,4,3,3750100
Parallel,bubble,100,4,4,2878700
Parallel,bubble,100,4,5,2952200
Parallel,bubble,100,8,1,4905600
Parallel,bubble,100,8,2,4898300
Parallel,bubble,100,8,3,4765000
Parallel,bubble,100,8,4,3436000
Parallel,bubble,100,8,5,3082300
Serial,merge,100,1,1,53300
Serial,merge,100,1,2,53700
Serial,merge,100,1,3,49000
Serial,merge,100,1,4,44500
Serial,merge,100,1,5,13700
Parallel,merge,100,2,1,310100
Parallel,merge,100,2,2,354400
Parallel,merge,100,2,3,186800
Parallel,merge,100,2,4,197100
Parallel,merge,100,2,5,181400
Parallel,merge,100,4,1,260900
Parallel,merge,100,4,2,232600
Parallel,merge,100,4,3,251100
Parallel,merge,100,4,4,185500
Parallel,merge,100,4,5,186700
Parallel,merge,100,8,1,149500
Parallel,merge,100,8,2,186400
Parallel,merge,100,8,3,184500
Parallel,merge,100,8,4,179700
Parallel,merge,100,8,5,157100
Serial,quick,100,1,1,23700
Serial,quick,100,1,2,23300
Serial,quick,100,1,3,20700
Serial,quick,100,1,4,28200
Serial,quick,100,1,5,8100
Parallel,quick,100,2,1,218800
Parallel,quick,100,2,2,146500
Parallel,quick,100,2,3,159800
Parallel,quick,100,2,4,171200
Parallel,quick,100,2,5,200800
Parallel,quick,100,4,1,164900
Parallel,quick,100,4,2,188200
Parallel,quick,100,4,3,215200
Parallel,quick,100,4,4,232300
Parallel,quick,100,4,5,174200
Parallel,quick,100,8,1,187900
Parallel,quick,100,8,2,166600
Parallel,quick,100,8,3,171800
Parallel,quick,100,8,4,161100
Parallel,quick,100,8,5,151300
Serial,insertion,100,1,1,46800
Serial,insertion,100,1,2,41500
Serial,insertion,100,1,3,40200
Serial,insertion,100,1,4,41500
Serial,insertion,100,1,5,42500
Parallel,insertion,100,2,1,6413200
Parallel,insertion,100,2,2,3106600
Parallel,insertion,100,2,3,2581500
Parallel,insertion,100,2,4,2615900
Parallel,insertion,100,2,5,2712900
Parallel,insertion,100,4,1,3576500
Parallel,insertion,100,4,2,3172600
Parallel,insertion,100,4,3,2987800
Parallel,insertion,100,4,4,2941600
Parallel,insertion,100,4,5,2785500
Parallel,insertion,100,8,1,3262700
Parallel,insertion,100,8,2,2912200
Parallel,insertion,100,8,3,2926700
Parallel,insertion,100,8,4,2673200
Parallel,insertion,100,8,5,3084600
Serial,bubble,1000,1,1,2693700
Serial,bubble,1000,1,2,1610500
Serial,bubble,1000,1,3,521500
Serial,bubble,1000,1,4,2767100
Serial,bubble,1000,1,5,498900
Parallel,bubble,1000,2,1,17471800
Parallel,bubble,1000,2,2,16333800
Parallel,bubble,1000,2,3,17848800
Parallel,bubble,1000,2,4,14766900
Parallel,bubble,1000,2,5,15198500
Parallel,bubble,1000,4,1,17835100
Parallel,bubble,1000,4,2,17877900
Parallel,bubble,1000,4,3,19624800
Parallel,bubble,1000,4,4,19713600
Parallel,bubble,1000,4,5,20333600
Parallel,bubble,1000,8,1,26393900
Parallel,bubble,1000,8,2,22245300
Parallel,bubble,1000,8,3,23858000
Parallel,bubble,1000,8,4,22041800
Parallel,bubble,1000,8,5,22407500
Serial,merge,1000,1,1,140400
Serial,merge,1000,1,2,132400
Serial,merge,1000,1,3,109400
Serial,merge,1000,1,4,115600
Serial,merge,1000,1,5,103000
Parallel,merge,1000,2,1,415100
Parallel,merge,1000,2,2,304300
Parallel,merge,1000,2,3,292200
Parallel,merge,1000,2,4,325900
Parallel,merge,1000,2,5,279700
Parallel,merge,1000,4,1,239600
Parallel,merge,1000,4,2,303700
Parallel,merge,1000,4,3,217000
Parallel,merge,1000,4,4,226300
Parallel,merge,1000,4,5,244600
Parallel,merge,1000,8,1,230200
Parallel,merge,1000,8,2,210700
Parallel,merge,1000,8,3,257500
Parallel,merge,1000,8,4,285300
Parallel,merge,1000,8,5,335900
Serial,quick,1000,1,1,66400
Serial,quick,1000,1,2,59100
Serial,quick,1000,1,3,60600
Serial,quick,1000,1,4,70600
Serial,quick,1000,1,5,53300
Parallel,quick,1000,2,1,271700
Parallel,quick,1000,2,2,198000
Parallel,quick,1000,2,3,205300
Parallel,quick,1000,2,4,175500
Parallel,quick,1000,2,5,202200
Parallel,quick,1000,4,1,165500
Parallel,quick,1000,4,2,182700
Parallel,quick,1000,4,3,182800
Parallel,quick,1000,4,4,193300
Parallel,quick,1000,4,5,230500
Parallel,quick,1000,8,1,178300
Parallel,quick,1000,8,2,144900
Parallel,quick,1000,8,3,179300
Parallel,quick,1000,8,4,156600
Parallel,quick,1000,8,5,167800
Serial,insertion,1000,1,1,1873300
Serial,insertion,1000,1,2,801300
Serial,insertion,1000,1,3,645900
Serial,insertion,1000,1,4,743100
Serial,insertion,1000,1,5,566200
Parallel,insertion,1000,2,1,12914800
Parallel,insertion,1000,2,2,10937400
Parallel,insertion,1000,2,3,11963800
Parallel,insertion,1000,2,4,11497600
Parallel,insertion,1000,2,5,12288000
Parallel,insertion,1000,4,1,12640600
Parallel,insertion,1000,4,2,12554200
Parallel,insertion,1000,4,3,13428100
Parallel,insertion,1000,4,4,13554600
Parallel,insertion,1000,4,5,12985700
Parallel,insertion,1000,8,1,14999300
Parallel,insertion,1000,8,2,15017100
Parallel,insertion,1000,8,3,14891800
Parallel,insertion,1000,8,4,14788600
Parallel,insertion,1000,8,5,14644500
Serial,bubble,10000,1,1,30542500
Serial,bubble,10000,1,2,30481600
Serial,bubble,10000,1,3,31295600
Serial,bubble,10000,1,4,31777700
Serial,bubble,10000,1,5,30993000
Parallel,bubble,10000,2,1,289505200
Parallel,bubble,10000,2,2,269732500
Parallel,bubble,10000,2,3,269981600
Parallel,bubble,10000,2,4,264142800
Parallel,bubble,10000,2,5,260054400
Parallel,bubble,10000,4,1,282402400
Parallel,bubble,10000,4,2,290665300
Parallel,bubble,10000,4,3,278977700
Parallel,bubble,10000,4,4,285486400
Parallel,bubble,10000,4,5,270225700
Parallel,bubble,10000,8,1,303153500
Parallel,bubble,10000,8,2,299261000
Parallel,bubble,10000,8,3,285111100
Parallel,bubble,10000,8,4,285637400
Parallel,bubble,10000,8,5,291299100
Serial,merge,10000,1,1,869300
Serial,merge,10000,1,2,836000
Serial,merge,10000,1,3,835000
Serial,merge,10000,1,4,832100
Serial,merge,10000,1,5,833100
Parallel,merge,10000,2,1,1057700
Parallel,merge,10000,2,2,1198300
Parallel,merge,10000,2,3,960300
Parallel,merge,10000,2,4,980100
Parallel,merge,10000,2,5,946300
Parallel,merge,10000,4,1,1247900
Parallel,merge,10000,4,2,953700
Parallel,merge,10000,4,3,1002800
Parallel,merge,10000,4,4,985700
Parallel,merge,10000,4,5,1088800
Parallel,merge,10000,8,1,1151500
Parallel,merge,10000,8,2,1033900
Parallel,merge,10000,8,3,1120900
Parallel,merge,10000,8,4,1204700
Parallel,merge,10000,8,5,1014100
Serial,quick,10000,1,1,553300
Serial,quick,10000,1,2,412100
Serial,quick,10000,1,3,408700
Serial,quick,10000,1,4,408700
Serial,quick,10000,1,5,401600
Parallel,quick,10000,2,1,579800
Parallel,quick,10000,2,2,555200
Parallel,quick,10000,2,3,561900
Parallel,quick,10000,2,4,534500
Parallel,quick,10000,2,5,720500
Parallel,quick,10000,4,1,600500
Parallel,quick,10000,4,2,568500
Parallel,quick,10000,4,3,571500
Parallel,quick,10000,4,4,552300
Parallel,quick,10000,4,5,565400
Parallel,quick,10000,8,1,545500
Parallel,quick,10000,8,2,655800
Parallel,quick,10000,8,3,572700
Parallel,quick,10000,8,4,542500
Parallel,quick,10000,8,5,538400
Serial,insertion,10000,1,1,17167000
Serial,insertion,10000,1,2,12971900
Serial,insertion,10000,1,3,13209100
Serial,insertion,10000,1,4,14153600
Serial,insertion,10000,1,5,13058400
Parallel,insertion,10000,2,1,114749900
Parallel,insertion,10000,2,2,111021100
Parallel,insertion,10000,2,3,109619900
Parallel,insertion,10000,2,4,112212900
Parallel,insertion,10000,2,5,120488300
Parallel,insertion,10000,4,1,130603500
Parallel,insertion,10000,4,2,145099200
Parallel,insertion,10000,4,3,139900600
Parallel,insertion,10000,4,4,130268400
Parallel,insertion,10000,4,5,142718600
Parallel,insertion,10000,8,1,156008300
Parallel,insertion,10000,8,2,152008700
Parallel,insertion,10000,8,3,153530500
Parallel,insertion,10000,8,4,164886600
Parallel,insertion,10000,8,5,156394300
Serial,bubble,100000,1,1,9829701400
Serial,bubble,100000,1,2,9771522000
Serial,bubble,100000,1,3,9755404400
Serial,bubble,100000,1,4,9764646500
Serial,bubble,100000,1,5,9751374600
Parallel,bubble,100000,2,1,17270602000
Parallel,bubble,100000,2,2,17367814600
Parallel,bubble,100000,2,3,17500806600
Parallel,bubble,100000,2,4,17587429600
Parallel,bubble,100000,2,5,17538592700
Parallel,bubble,100000,4,1,10258696300
Parallel,bubble,100000,4,2,10385205300
Parallel,bubble,100000,4,3,10398602200
Parallel,bubble,100000,4,4,10423409400
Parallel,bubble,100000,4,5,10370017900
Parallel,bubble,100000,8,1,8448944500
Parallel,bubble,100000,8,2,8450053300
Parallel,bubble,100000,8,3,8469521800
Parallel,bubble,100000,8,4,8923429200
Parallel,bubble,100000,8,5,9018950100
Serial,merge,100000,1,1,10420300
Serial,merge,100000,1,2,10649400
Serial,merge,100000,1,3,10538700
Serial,merge,100000,1,4,10319700
Serial,merge,100000,1,5,10700700
Parallel,merge,100000,2,1,6049900
Parallel,merge,100000,2,2,6101200
Parallel,merge,100000,2,3,6167200
Parallel,merge,100000,2,4,5919100
Parallel,merge,100000,2,5,5804400
Parallel,merge,100000,4,1,4349100
Parallel,merge,100000,4,2,4240500
Parallel,merge,100000,4,3,3705300
Parallel,merge,100000,4,4,3898400
Parallel,merge,100000,4,5,4177500
Parallel,merge,100000,8,1,3382500
Parallel,merge,100000,8,2,3402000
Parallel,merge,100000,8,3,3404000
Parallel,merge,100000,8,4,3194900
Parallel,merge,100000,8,5,3328800
Serial,quick,100000,1,1,5262500
Serial,quick,100000,1,2,5314800
Serial,quick,100000,1,3,5298400
Serial,quick,100000,1,4,5487300
Serial,quick,100000,1,5,5202000
Parallel,quick,100000,2,1,3446100
Parallel,quick,100000,2,2,3041600
Parallel,quick,100000,2,3,3677400
Parallel,quick,100000,2,4,3519800
Parallel,quick,100000,2,5,3043100
Parallel,quick,100000,4,1,2167300
Parallel,quick,100000,4,2,2173000
Parallel,quick,100000,4,3,2042900
Parallel,quick,100000,4,4,2329600
Parallel,quick,100000,4,5,1962900
Parallel,quick,100000,8,1,1773100
Parallel,quick,100000,8,2,1769300
Parallel,quick,100000,8,3,1877000
Parallel,quick,100000,8,4,1789200
Parallel,quick,100000,8,5,1704100
Serial,insertion,100000,1,1,1485218300
Serial,insertion,100000,1,2,1400330500
Serial,insertion,100000,1,3,1459001500
Serial,insertion,100000,1,4,1548416800
Serial,insertion,100000,1,5,1439458200
Parallel,insertion,100000,2,1,1646548600
Parallel,insertion,100000,2,2,1650715300
Parallel,insertion,100000,2,3,1662370500
Parallel,insertion,100000,2,4,1656553500
Parallel,insertion,100000,2,5,1670154700
Parallel,insertion,100000,4,1,1839026100
Parallel,insertion,100000,4,2,1870813000
Parallel,insertion,100000,4,3,1816932800
Parallel,insertion,100000,4,4,1815731500
Parallel,insertion,100000,4,5,1817121800
Parallel,insertion,100000,8,1,2115244700
Parallel,insertion,100000,8,2,2141578600
Parallel,insertion,100000,8,3,2150987000
Parallel,insertion,100000,8,4,2146812500
Parallel,insertion,100000,8,5,2146988400
Serial,bubble,1000000,1,1,1017653519500
Serial,bubble,1000000,1,2,1018297571401
Serial,bubble,1000000,1,3,1032614145600
Serial,bubble,1000000,1,4,1028253034800
Serial,bubble,1000000,1,5,1020885891500
Parallel,bubble,1000000,2,1,3066159468300
Parallel,bubble,1000000,2,2,2348231588400
Parallel,bubble,1000000,2,3,3494438722900
Parallel,bubble,1000000,2,4,2897100010500
Parallel,bubble,1000000,2,5,2975660215200
Parallel,bubble,1000000,4,1,1545359886500
Parallel,bubble,1000000,4,2,1356180310700
Parallel,bubble,1000000,4,3,1483484019300
Parallel,bubble,1000000,4,4,1403970160200
Parallel,bubble,1000000,4,5,1094817872700
Parallel,bubble,1000000,8,1,789201795500
Parallel,bubble,1000000,8,2,765257499100
Parallel,bubble,1000000,8,3,777709014900
Parallel,bubble,1000000,8,4,810389526300
Parallel,bubble,1000000,8,5,780383393800
Serial,merge,1000000,1,1,127858700
Serial,merge,1000000,1,2,126509800
Serial,merge,1000000,1,3,126462200
Serial,merge,1000000,1,4,126504800
Serial,merge,1000000,1,5,126927900
Parallel,merge,1000000,2,1,76099300
Parallel,merge,1000000,2,2,81503500
Parallel,merge,1000000,2,3,77606000
Parallel,merge,1000000,2,4,85634400
Parallel,merge,1000000,2,5,79530000
Parallel,merge,1000000,4,1,51319100
Parallel,merge,1000000,4,2,49348700
Parallel,merge,1000000,4,3,49296400
Parallel,merge,1000000,4,4,52978700
Parallel,merge,1000000,4,5,51141800
Parallel,merge,1000000,8,1,31918900
Parallel,merge,1000000,8,2,31914400
Parallel,merge,1000000,8,3,34255700
Parallel,merge,1000000,8,4,33942800
Parallel,merge,1000000,8,5,32598900
Serial,quick,1000000,1,1,66158300
Serial,quick,1000000,1,2,66087200
Serial,quick,1000000,1,3,66610900
Serial,quick,1000000,1,4,67982300
Serial,quick,1000000,1,5,65693700
Parallel,quick,1000000,2,1,40733900
Parallel,quick,1000000,2,2,38256600
Parallel,quick,1000000,2,3,38761000
Parallel,quick,1000000,2,4,38868900
Parallel,quick,1000000,2,5,37024700
Parallel,quick,1000000,4,1,23006200
Parallel,quick,1000000,4,2,25342700
Parallel,quick,1000000,4,3,23136700
Parallel,quick,1000000,4,4,23029700
Parallel,quick,1000000,4,5,23184800
Parallel,quick,1000000,8,1,13855000
Parallel,quick,1000000,8,2,13993000
Parallel,quick,1000000,8,3,15079300
Parallel,quick,1000000,8,4,15053600
Parallel,quick,1000000,8,5,16478800
Serial,insertion,1000000,1,1,140443393300
Serial,insertion,1000000,1,2,135931912700
Serial,insertion,1000000,1,3,137201869500
Serial,insertion,1000000,1,4,136028908300
Serial,insertion,1000000,1,5,135911117400
Parallel,insertion,1000000,2,1,77962137000
Parallel,insertion,1000000,2,2,79704330700
Parallel,insertion,1000000,2,3,75694703000
Parallel,insertion,1000000,2,4,79336292300
Parallel,insertion,1000000,2,5,73467255600
Parallel,insertion,1000000,4,1,74679739800
Parallel,insertion,1000000,4,2,75987570800
Parallel,insertion,1000000,4,3,73043313900
Parallel,insertion,1000000,4,4,73587592300
Parallel,insertion,1000000,4,5,75158203700
Parallel,insertion,1000000,8,1,78898163200
Parallel,insertion,1000000,8,2,77749743100
Parallel,insertion,1000000,8,3,78264492800
Parallel,insertion,1000000,8,4,77930971600
Parallel,insertion,1000000,8,5,76865595400
